timestamp,volume,vw,open,close,high,low,transactions
1688688000000,1068,3.7107,3.71,3.69533,3.72539,3.6927,1068
1688860800000,2,3.6955,3.6955,3.6955,3.6955,3.6955,2
1688947200000,1162,3.7099,3.7061,3.69834,3.72606,3.6955,1162
1689033600000,1148,3.6991,3.70139,3.6842,3.70977,3.68081,1148
1689120000000,1099,3.6643,3.6652,3.64509,3.68319,3.6423,1099
1689206400000,1209,3.621,3.62795,3.61307,3.6443,3.60009,1209
1689292800000,1139,3.6076,3.59951,3.60518,3.61825,3.59566,1139
1689465600000,2,3.6052,3.60516,3.60516,3.60516,3.60516,2
1689552000000,1181,3.6337,3.60753,3.63418,3.64462,3.60516,1181
1689638400000,1223,3.6253,3.61833,3.58704,3.64397,3.58686,1223
1689724800000,1207,3.5886,3.5966,3.58803,3.6073,3.56646,1207
1689811200000,1138,3.5901,3.57181,3.61103,3.61417,3.57181,1138
1689897600000,1100,3.6127,3.6001,3.61868,3.62134,3.5985,1100
1690070400000,2,3.6188,3.61875,3.61875,3.61875,3.61875,2
1690156800000,1222,3.621,3.6268,3.66103,3.68455,3.57922,1222
1690243200000,1233,3.697,3.6577,3.71482,3.71894,3.6569,1233
1690329600000,1192,3.7012,3.69118,3.69021,3.7165,3.68209,1192
1690416000000,1058,3.7,3.6777,3.71264,3.72089,3.6777,1058
1690502400000,1225,3.7078,3.7169,3.70047,3.72384,3.6919,1225
1690675200000,2,3.7006,3.70061,3.70061,3.70061,3.70061,2
1690761600000,1088,3.6874,3.6849,3.66347,3.70061,3.65898,1088
1690848000000,1128,3.6524,3.66363,3.63462,3.67216,3.6321,1128
1690934400000,1157,3.6539,3.62578,3.67118,3.67459,3.62307,1157
1691020800000,1115,3.6804,3.66651,3.68653,3.69937,3.66593,1115
1691107200000,1046,3.6757,3.67503,3.65077,3.69157,3.64945,1046
1691280000000,1,3.6508,3.65077,3.65077,3.65077,3.65077,1
1691366400000,1150,3.6683,3.65056,3.68495,3.68639,3.6433,1150
1691452800000,1044,3.6982,3.67536,3.72138,3.72925,3.67241,1044
1691539200000,1086,3.7073,3.70954,3.68741,3.72227,3.6786,1086
1691625600000,1041,3.7083,3.6904,3.70681,3.72181,3.6877,1041
1691712000000,1046,3.7237,3.72188,3.72561,3.73533,3.70923,1046
1691884800000,2,3.7269,3.72686,3.72686,3.72686,3.72686,2
1691971200000,1159,3.7345,3.73166,3.74315,3.75668,3.71418,1159
1692057600000,1236,3.7548,3.74424,3.73844,3.77366,3.72478,1236
1692144000000,1111,3.7482,3.73691,3.74967,3.75592,3.73443,1111
1692230400000,1174,3.7722,3.76157,3.7852,3.79026,3.75725,1174
1692316800000,1009,3.7914,3.7826,3.7937,3.7984,3.7771,1009
1692489600000,1,3.7937,3.7937,3.7937,3.7937,3.7937,1
1692662400000,831,3.7767,3.7764,3.78945,3.79348,3.7672,831
1692748800000,1025,3.7762,3.7895,3.76037,3.7895,3.75572,1025
1692835200000,1082,3.7686,3.7471,3.79569,3.7959,3.74588,1082
1692921600000,948,3.7929,3.7984,3.80149,3.80659,3.78388,948
1693094400000,2,3.8014,3.80138,3.80138,3.80138,3.80138,2
1693180800000,990,3.7965,3.78581,3.80238,3.80384,3.78321,990
1693267200000,1084,3.8023,3.79108,3.79903,3.8139,3.79068,1084
1693353600000,1004,3.7911,3.7905,3.78085,3.80261,3.771,1004
1693440000000,1120,3.7973,3.7793,3.7985,3.81534,3.7793,1120
1693526400000,1077,3.7929,3.79368,3.79468,3.80643,3.7768,1077
1693699200000,1,3.7947,3.79468,3.79468,3.79468,3.79468,1
1693785600000,888,3.8103,3.7946,3.8124,3.818,3.7863,888
1693872000000,1178,3.7937,3.77379,3.79985,3.8125,3.77223,1178
1693958400000,948,3.8134,3.804,3.8248,3.826,3.8032,948
1694044800000,948,3.8477,3.84459,3.84221,3.8548,3.8412,948
1694131200000,1001,3.8432,3.846,3.8422,3.85036,3.8305,1001
1694304000000,2,3.8429,3.8429,3.8429,3.8429,3.8429,2
1694390400000,1088,3.8326,3.8363,3.8065,3.85208,3.8006,1088
1694476800000,1066,3.8017,3.7959,3.8062,3.81352,3.7783,1066
1694563200000,1042,3.8172,3.8048,3.8234,3.8317,3.8031,1042
1694649600000,1123,3.8215,3.8236,3.82156,3.8281,3.812,1123
1694736000000,1052,3.8097,3.8098,3.8057,3.8215,3.8021,1052
1694908800000,2,3.8059,3.8059,3.8059,3.8059,3.8059,2
1694995200000,1120,3.8233,3.8138,3.8181,3.8307,3.8059,1120
1695081600000,1102,3.808,3.8169,3.80881,3.8258,3.79198,1102
1695168000000,1041,3.8068,3.8029,3.8062,3.81112,3.80167,1041
1695254400000,1157,3.81,3.8059,3.81375,3.82181,3.8001,1157
1695340800000,883,3.8091,3.81429,3.80593,3.81969,3.79914,883
1695513600000,2,3.8057,3.80574,3.80574,3.80574,3.80574,2
1695600000000,866,3.8063,3.80323,3.80912,3.82001,3.80021,866
1695686400000,1022,3.8191,3.80647,3.82483,3.82751,3.80647,1022
1695772800000,1036,3.8356,3.82884,3.83905,3.84841,3.81922,1036
1695859200000,1077,3.8429,3.84758,3.84149,3.85065,3.8296,1077
1695945600000,906,3.8187,3.82512,3.80358,3.84039,3.80245,906
1696118400000,2,3.8043,3.80432,3.80432,3.80432,3.80432,2
1696204800000,912,3.8281,3.80535,3.84009,3.84011,3.80432,912
1696291200000,977,3.8435,3.8393,3.8452,3.84785,3.83198,977
1696377600000,1042,3.8592,3.8431,3.85172,3.87307,3.83438,1042
1696464000000,1062,3.8572,3.83318,3.86401,3.8692,3.83313,1062
1696550400000,897,3.861,3.8569,3.85839,3.87194,3.85118,897
1696723200000,2,3.8582,3.85815,3.85815,3.85815,3.85815,2
1696809600000,1025,3.9178,3.9015,3.95093,3.95103,3.81639,1025
1696896000000,1026,3.9448,3.9441,3.9463,3.95493,3.9062,1026
1696982400000,897,3.9507,3.939,3.95488,3.95873,3.9282,897
1697068800000,921,3.9572,3.9447,3.96643,3.96797,3.9447,921
1697155200000,794,3.9696,3.9591,3.97397,3.9754,3.9404,794
1697328000000,2,3.974,3.97403,3.97403,3.97403,3.97403,2
1697414400000,895,3.9864,3.9701,3.99875,4.00265,3.9676,895
1697500800000,959,4.0135,4.0011,4.01956,4.03072,3.98463,959
1697587200000,895,4.0207,4.00874,4.02469,4.02674,4.00509,895
1697673600000,963,4.0309,4.0236,4.03961,4.04234,4.0218,963
1697760000000,859,4.052,4.0361,4.05678,4.06196,4.0361,859
1697932800000,1,4.0567,4.05672,4.05672,4.05672,4.05672,1
1698019200000,927,4.0594,4.0491,4.06182,4.06284,4.0415,927
1698105600000,947,4.0549,4.04034,4.05671,4.06409,4.03608,947
1698192000000,851,4.062,4.05661,4.06247,4.06622,4.04679,851
1698278400000,938,4.0739,4.05335,4.07615,4.08372,4.02688,938
1698364800000,840,4.0704,4.0759,4.05359,4.08312,4.03608,840
1698537600000,2,4.0528,4.05277,4.05277,4.05277,4.05277,2
1698624000000,924,4.0502,4.02688,4.03678,4.067,4.02688,924
1698710400000,994,4.0206,3.99707,4.04513,4.04576,3.98753,994
1698796800000,894,4.0266,4.0361,4.0122,4.04381,4.00678,894
1698883200000,997,3.9754,3.9855,3.97851,4.0009,3.9489,997
1698969600000,836,3.964,3.9941,3.91992,3.9974,3.88828,836
1699142400000,2,3.9179,3.91791,3.91791,3.91791,3.91791,2
1699228800000,937,3.8962,3.9284,3.89177,3.9284,3.86428,937
1699315200000,976,3.8717,3.87835,3.8747,3.89154,3.84767,976
1699401600000,881,3.8482,3.8658,3.83446,3.87429,3.83104,881
1699488000000,897,3.8392,3.82081,3.84013,3.85686,3.81695,897
1699574400000,752,3.8652,3.84208,3.86928,3.88186,3.83688,752
1699747200000,2,3.8701,3.87006,3.87006,3.87006,3.87006,2
1699833600000,935,3.8675,3.8729,3.86368,3.88464,3.85192,935
1699920000000,918,3.8289,3.8445,3.79801,3.86401,3.78839,918
1700006400000,996,3.77,3.75339,3.78235,3.78679,3.74218,996
1700092800000,1003,3.7718,3.77221,3.74251,3.79975,3.73256,1003
1700179200000,773,3.7232,3.72815,3.71112,3.75045,3.7003,773
1700352000000,2,3.7096,3.70963,3.70963,3.70963,3.70963,2
1700438400000,917,3.7232,3.70469,3.72554,3.73545,3.7012,917
1700524800000,921,3.7066,3.7042,3.7126,3.72623,3.68606,921
1700611200000,878,3.7252,3.7144,3.72917,3.73758,3.71226,878
1700697600000,888,3.7321,3.71344,3.74389,3.75033,3.71344,888
1700784000000,667,3.7359,3.73585,3.7329,3.74372,3.70188,667
1700956800000,2,3.734,3.734,3.734,3.734,3.734,2
1701043200000,970,3.7311,3.7298,3.7077,3.75117,3.7077,970
1701129600000,976,3.6996,3.6985,3.6821,3.70921,3.6796,976
1701216000000,999,3.6746,3.6722,3.6822,3.6847,3.66842,999
1701302400000,1025,3.7037,3.67636,3.7213,3.72417,3.6752,1025
1701388800000,844,3.7295,3.73589,3.7144,3.74496,3.6998,844
1701561600000,2,3.717,3.71703,3.71703,3.71703,3.71703,2
1701648000000,1000,3.712,3.7088,3.7223,3.7235,3.69532,1000
1701734400000,959,3.7226,3.7188,3.7191,3.73506,3.70688,959
1701820800000,986,3.7058,3.7198,3.6961,3.72612,3.68723,986
1701907200000,991,3.6995,3.7038,3.69733,3.70831,3.69249,991
1701993600000,900,3.6988,3.7058,3.70316,3.7088,3.6926,900
1702166400000,2,3.7025,3.7025,3.7025,3.7025,3.7025,2
1702252800000,971,3.7108,3.69915,3.71317,3.71604,3.6968,971
1702339200000,975,3.7078,3.70438,3.71208,3.72217,3.69806,975
1702425600000,914,3.7034,3.70139,3.6995,3.71214,3.69038,914
1702512000000,1042,3.6708,3.7005,3.6647,3.7005,3.6469,1042
1702598400000,916,3.6629,3.6649,3.6599,3.67774,3.65018,916
1702771200000,2,3.6638,3.6638,3.6638,3.6638,3.6638,2
1702857600000,989,3.6569,3.66002,3.6635,3.6767,3.64213,989
1702944000000,1003,3.6521,3.65633,3.6526,3.66374,3.638,1003
1703030400000,970,3.6407,3.6378,3.6258,3.6532,3.6251,970
1703116800000,1059,3.6152,3.6376,3.6229,3.63939,3.60185,1059
1703203200000,766,3.602,3.6006,3.598,3.6207,3.56644,766
1703376000000,1,3.5987,3.5987,3.5987,3.5987,3.5987,1
